         16709981 function calls (15665525 primitive calls) in 593.557 seconds

   Ordered by: cumulative time, internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    90706    0.087    0.000    0.110    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/utils/_contextlib.py:154(__new__)
  1022023    0.108    0.000    0.108    0.000 {built-in method builtins.id}
     3300    0.003    0.000    0.107    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/concurrent/futures/process.py:89(wakeup)
    12800    0.104    0.000    0.104    0.000 {built-in method torch.broadcast_tensors}
     3300    0.104    0.000    0.104    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/concurrent/futures/process.py:180(_get_chunks)
     3300    0.008    0.000    0.104    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/multiprocessing/connection.py:181(send_bytes)
   847117    0.103    0.000    0.103    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.102    0.102 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/_dynamo/variables/__init__.py:3(<module>)
    17613    0.101    0.000    0.101    0.000 {method 'fill_' of 'torch._C.TensorBase' objects}
      100    0.001    0.000    0.100    0.001 /root/anaconda3/envs/accelergy/lib/python3.8/threading.py:505(__init__)
   181612    0.098    0.000    0.098    0.000 {built-in method torch._C._set_grad_enabled}
       10    0.094    0.009    0.094    0.009 {built-in method _posixsubprocess.fork_exec}
     3300    0.005    0.000    0.093    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/multiprocessing/connection.py:390(_send_bytes)
77752/77613    0.069    0.000    0.093    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/copy.py:226(_deepcopy_dict)
    21763    0.010    0.000    0.089    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/re.py:289(_compile)
     3300    0.002    0.000    0.086    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/multiprocessing/connection.py:365(_send)
        1    0.000    0.000    0.086    0.086 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/triton/language/math.py:1(<module>)
    10621    0.003    0.000    0.086    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/re.py:250(compile)
        1    0.000    0.000    0.085    0.085 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/triton/language/core.py:1(<module>)
     3300    0.084    0.000    0.084    0.000 {built-in method posix.write}
     8100    0.084    0.000    0.084    0.000 {built-in method torch.ones_like}
    77600    0.082    0.000    0.082    0.000 {built-in method torch._C._has_storage}
     6730    0.081    0.000    0.081    0.000 {built-in method posix.pipe}
        1    0.000    0.000    0.081    0.081 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/polys/polyfuncs.py:1(<module>)
        1    0.000    0.000    0.081    0.081 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/triton/runtime/jit.py:1(<module>)
        1    0.000    0.000    0.081    0.081 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/polys/specialpolys.py:1(<module>)
        1    0.000    0.000    0.081    0.081 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/triton/runtime/driver.py:1(<module>)
        1    0.000    0.000    0.080    0.080 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/triton/backends/__init__.py:1(<module>)
     5600    0.080    0.000    0.080    0.000 {built-in method torch.zeros}
     4800    0.079    0.000    0.079    0.000 {method 'clone' of 'torch._C.TensorBase' objects}
        1    0.000    0.000    0.078    0.078 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/triton/backends/__init__.py:35(_discover_backends)
        4    0.000    0.000    0.078    0.020 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/triton/backends/__init__.py:9(_load_module)
    75200    0.049    0.000    0.077    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/_VF.py:26(__getattr__)
        1    0.000    0.000    0.077    0.077 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/polys/rings.py:1(<module>)
